bundle,protocol,seed,held_out,artifact,present
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-39-1-seed-2026,loso,2026,39-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-39-1-seed-2026,loso,2026,39-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-39-1-seed-2026,loso,2026,39-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-39-1-seed-2026,loso,2026,39-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-39-1-seed-2026,loso,2026,39-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-9-1-seed-2026,loso,2026,9-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-9-1-seed-2026,loso,2026,9-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-9-1-seed-2026,loso,2026,9-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-9-1-seed-2026,loso,2026,9-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-9-1-seed-2026,loso,2026,9-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/pooled-seed-2026,pooled,2026,ALL,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/pooled-seed-2026,pooled,2026,ALL,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/pooled-seed-2026,pooled,2026,ALL,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/pooled-seed-2026,pooled,2026,ALL,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/pooled-seed-2026,pooled,2026,ALL,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-1-1-seed-42,loso,42,1-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-1-1-seed-42,loso,42,1-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-1-1-seed-42,loso,42,1-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-1-1-seed-42,loso,42,1-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-1-1-seed-42,loso,42,1-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-3-1-seed-42,loso,42,3-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-3-1-seed-42,loso,42,3-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-3-1-seed-42,loso,42,3-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-3-1-seed-42,loso,42,3-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-3-1-seed-42,loso,42,3-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-34-1-seed-42,loso,42,34-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-34-1-seed-42,loso,42,34-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-34-1-seed-42,loso,42,34-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-34-1-seed-42,loso,42,34-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-34-1-seed-42,loso,42,34-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-36-1-seed-42,loso,42,36-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-36-1-seed-42,loso,42,36-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-36-1-seed-42,loso,42,36-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-36-1-seed-42,loso,42,36-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-36-1-seed-42,loso,42,36-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-39-1-seed-42,loso,42,39-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-39-1-seed-42,loso,42,39-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-39-1-seed-42,loso,42,39-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-39-1-seed-42,loso,42,39-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-39-1-seed-42,loso,42,39-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-9-1-seed-42,loso,42,9-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-9-1-seed-42,loso,42,9-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-9-1-seed-42,loso,42,9-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-9-1-seed-42,loso,42,9-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-9-1-seed-42,loso,42,9-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/pooled-seed-42,pooled,42,ALL,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/pooled-seed-42,pooled,42,ALL,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/pooled-seed-42,pooled,42,ALL,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/pooled-seed-42,pooled,42,ALL,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/pooled-seed-42,pooled,42,ALL,predictions.csv,True
