scope,split,class_index,class_name,support,proportion,global_support,clients_with_class,zero_support,structurally_private_class,ultra_rare_global_class,severe_imbalance_trigger
34-1,train,7,PartOfAHorizontalPortScan,85,0.0064761904761904765,40122,5,False,False,False,False
34-1,validation,0,Benign,192,0.10245464247598719,36459,6,False,False,False,False
34-1,validation,1,Attack,0,0.0,6639,2,True,False,False,True
34-1,validation,2,C&C,670,0.3575240128068303,8252,4,False,False,False,False
34-1,validation,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
34-1,validation,4,DDoS,1000,0.5336179295624333,10000,1,False,True,False,True
34-1,validation,5,Okiru,0,0.0,10000,1,True,True,False,True
34-1,validation,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
34-1,validation,7,PartOfAHorizontalPortScan,12,0.0064034151547491995,40122,5,False,False,False,False
34-1,test,0,Benign,385,0.10261194029850747,36459,6,False,False,False,False
34-1,test,1,Attack,0,0.0,6639,2,True,False,False,True
34-1,test,2,C&C,1342,0.35767590618336886,8252,4,False,False,False,False
34-1,test,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
34-1,test,4,DDoS,2000,0.5330490405117271,10000,1,False,True,False,True
34-1,test,5,Okiru,0,0.0,10000,1,True,True,False,True
34-1,test,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
34-1,test,7,PartOfAHorizontalPortScan,25,0.006663113006396588,40122,5,False,False,False,False
1-1,all,0,Benign,10000,0.4998000799680128,36459,6,False,False,False,False
1-1,all,1,Attack,0,0.0,6639,2,True,False,False,True
1-1,all,2,C&C,8,0.00039984006397441024,8252,4,False,False,False,False
1-1,all,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
1-1,all,4,DDoS,0,0.0,10000,1,True,True,False,True
1-1,all,5,Okiru,0,0.0,10000,1,True,True,False,True
1-1,all,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
1-1,all,7,PartOfAHorizontalPortScan,10000,0.4998000799680128,40122,5,False,False,False,False
1-1,train,0,Benign,7000,0.49982149232416995,36459,6,False,False,False,False
1-1,train,1,Attack,0,0.0,6639,2,True,False,False,True
1-1,train,2,C&C,5,0.0003570153516601214,8252,4,False,False,False,False
1-1,train,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
1-1,train,4,DDoS,0,0.0,10000,1,True,True,False,True
1-1,train,5,Okiru,0,0.0,10000,1,True,True,False,True
1-1,train,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
1-1,train,7,PartOfAHorizontalPortScan,7000,0.49982149232416995,40122,5,False,False,False,False
1-1,validation,0,Benign,1000,0.49975012493753124,36459,6,False,False,False,False
1-1,validation,1,Attack,0,0.0,6639,2,True,False,False,True
1-1,validation,2,C&C,1,0.0004997501249375312,8252,4,False,False,False,False
1-1,validation,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
1-1,validation,4,DDoS,0,0.0,10000,1,True,True,False,True
1-1,validation,5,Okiru,0,0.0,10000,1,True,True,False,True
1-1,validation,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
1-1,validation,7,PartOfAHorizontalPortScan,1000,0.49975012493753124,40122,5,False,False,False,False
1-1,test,0,Benign,2000,0.49975012493753124,36459,6,False,False,False,False
1-1,test,1,Attack,0,0.0,6639,2,True,False,False,True
1-1,test,2,C&C,2,0.0004997501249375312,8252,4,False,False,False,False
1-1,test,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
1-1,test,4,DDoS,0,0.0,10000,1,True,True,False,True
1-1,test,5,Okiru,0,0.0,10000,1,True,True,False,True
1-1,test,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
1-1,test,7,PartOfAHorizontalPortScan,2000,0.49975012493753124,40122,5,False,False,False,False
3-1,all,0,Benign,4536,0.221203550180435,36459,6,False,False,False,False
3-1,all,1,Attack,5962,0.2907441724373354,6639,2,False,False,False,False
3-1,all,2,C&C,8,0.00039012971813127864,8252,4,False,False,False,False
3-1,all,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
3-1,all,4,DDoS,0,0.0,10000,1,True,True,False,True
3-1,all,5,Okiru,0,0.0,10000,1,True,True,False,True
3-1,all,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
3-1,all,7,PartOfAHorizontalPortScan,10000,0.4876621476640983,40122,5,False,False,False,False
3-1,train,0,Benign,3175,0.22120810980282868,36459,6,False,False,False,False
3-1,train,1,Attack,4173,0.29074061171880444,6639,2,False,False,False,False
3-1,train,2,C&C,5,0.00034835922803595065,8252,4,False,False,False,False
3-1,train,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
3-1,train,4,DDoS,0,0.0,10000,1,True,True,False,True
3-1,train,5,Okiru,0,0.0,10000,1,True,True,False,True
3-1,train,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
3-1,train,7,PartOfAHorizontalPortScan,7000,0.48770291925033094,40122,5,False,False,False,False
3-1,validation,0,Benign,453,0.22097560975609756,36459,6,False,False,False,False
3-1,validation,1,Attack,596,0.29073170731707315,6639,2,False,False,False,False
3-1,validation,2,C&C,1,0.0004878048780487805,8252,4,False,False,False,False
3-1,validation,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
3-1,validation,4,DDoS,0,0.0,10000,1,True,True,False,True
3-1,validation,5,Okiru,0,0.0,10000,1,True,True,False,True
3-1,validation,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
3-1,validation,7,PartOfAHorizontalPortScan,1000,0.4878048780487805,40122,5,False,False,False,False
3-1,test,0,Benign,908,0.2213014867170363,36459,6,False,False,False,False
3-1,test,1,Attack,1193,0.29076285644650257,6639,2,False,False,False,False
3-1,test,2,C&C,2,0.0004874482086278333,8252,4,False,False,False,False
3-1,test,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
3-1,test,4,DDoS,0,0.0,10000,1,True,True,False,True
3-1,test,5,Okiru,0,0.0,10000,1,True,True,False,True
3-1,test,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
3-1,test,7,PartOfAHorizontalPortScan,2000,0.4874482086278333,40122,5,False,False,False,False
9-1,all,0,Benign,10000,0.5,36459,6,False,False,False,False
9-1,all,1,Attack,0,0.0,6639,2,True,False,False,True
9-1,all,2,C&C,0,0.0,8252,4,True,False,False,True
9-1,all,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
9-1,all,4,DDoS,0,0.0,10000,1,True,True,False,True
9-1,all,5,Okiru,0,0.0,10000,1,True,True,False,True
9-1,all,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
9-1,all,7,PartOfAHorizontalPortScan,10000,0.5,40122,5,False,False,False,False
9-1,train,0,Benign,7000,0.5,36459,6,False,False,False,False
9-1,train,1,Attack,0,0.0,6639,2,True,False,False,True
9-1,train,2,C&C,0,0.0,8252,4,True,False,False,True
9-1,train,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
9-1,train,4,DDoS,0,0.0,10000,1,True,True,False,True
9-1,train,5,Okiru,0,0.0,10000,1,True,True,False,True
9-1,train,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
9-1,train,7,PartOfAHorizontalPortScan,7000,0.5,40122,5,False,False,False,False
9-1,validation,0,Benign,1000,0.5,36459,6,False,False,False,False
9-1,validation,1,Attack,0,0.0,6639,2,True,False,False,True
9-1,validation,2,C&C,0,0.0,8252,4,True,False,False,True
9-1,validation,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
9-1,validation,4,DDoS,0,0.0,10000,1,True,True,False,True
9-1,validation,5,Okiru,0,0.0,10000,1,True,True,False,True
9-1,validation,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
9-1,validation,7,PartOfAHorizontalPortScan,1000,0.5,40122,5,False,False,False,False
9-1,test,0,Benign,2000,0.5,36459,6,False,False,False,False
9-1,test,1,Attack,0,0.0,6639,2,True,False,False,True
9-1,test,2,C&C,0,0.0,8252,4,True,False,False,True
9-1,test,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
9-1,test,4,DDoS,0,0.0,10000,1,True,True,False,True
9-1,test,5,Okiru,0,0.0,10000,1,True,True,False,True
9-1,test,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
9-1,test,7,PartOfAHorizontalPortScan,2000,0.5,40122,5,False,False,False,False
36-1,all,0,Benign,2663,0.11748874966910791,36459,6,False,False,False,False
36-1,all,1,Attack,0,0.0,6639,2,True,False,False,True
36-1,all,2,C&C,0,0.0,8252,4,True,False,False,True
36-1,all,3,C&C-HeartBeat,10000,0.4411894467484338,10000,1,False,True,False,True
36-1,all,4,DDoS,0,0.0,10000,1,True,True,False,True
36-1,all,5,Okiru,10000,0.4411894467484338,10000,1,False,True,False,True
36-1,all,6,Okiru-Attack,3,0.00013235683402453013,3,1,False,True,True,True
36-1,all,7,PartOfAHorizontalPortScan,0,0.0,40122,5,True,False,False,True
36-1,train,0,Benign,1864,0.11748392789613009,36459,6,False,False,False,False
36-1,train,1,Attack,0,0.0,6639,2,True,False,False,True
36-1,train,2,C&C,0,0.0,8252,4,True,False,False,True
36-1,train,3,C&C-HeartBeat,7000,0.44119500819362156,10000,1,False,True,False,True
36-1,train,4,DDoS,0,0.0,10000,1,True,True,False,True
36-1,train,5,Okiru,7000,0.44119500819362156,10000,1,False,True,False,True
36-1,train,6,Okiru-Attack,2,0.00012605571662674902,3,1,False,True,True,True
36-1,train,7,PartOfAHorizontalPortScan,0,0.0,40122,5,True,False,False,True
36-1,validation,0,Benign,266,0.11738746690203,36459,6,False,False,False,False
36-1,validation,1,Attack,0,0.0,6639,2,True,False,False,True
36-1,validation,2,C&C,0,0.0,8252,4,True,False,False,True
36-1,validation,3,C&C-HeartBeat,1000,0.44130626654898497,10000,1,False,True,False,True
36-1,validation,4,DDoS,0,0.0,10000,1,True,True,False,True
36-1,validation,5,Okiru,1000,0.44130626654898497,10000,1,False,True,False,True
36-1,validation,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
36-1,validation,7,PartOfAHorizontalPortScan,0,0.0,40122,5,True,False,False,True
36-1,test,0,Benign,533,0.11755624172915748,36459,6,False,False,False,False
36-1,test,1,Attack,0,0.0,6639,2,True,False,False,True
36-1,test,2,C&C,0,0.0,8252,4,True,False,False,True
36-1,test,3,C&C-HeartBeat,2000,0.4411116012351125,10000,1,False,True,False,True
36-1,test,4,DDoS,0,0.0,10000,1,True,True,False,True
36-1,test,5,Okiru,2000,0.4411116012351125,10000,1,False,True,False,True
36-1,test,6,Okiru-Attack,1,0.00022055580061755624,3,1,False,True,True,True
36-1,test,7,PartOfAHorizontalPortScan,0,0.0,40122,5,True,False,False,True
39-1,all,0,Benign,7337,0.3754093327875563,36459,6,False,False,False,False
39-1,all,1,Attack,677,0.03463978714695047,6639,2,False,False,False,False
39-1,all,2,C&C,1530,0.07828489562013917,8252,4,False,False,False,False
39-1,all,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
39-1,all,4,DDoS,0,0.0,10000,1,True,True,False,True
39-1,all,5,Okiru,0,0.0,10000,1,True,True,False,True
39-1,all,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
39-1,all,7,PartOfAHorizontalPortScan,10000,0.511665984445354,40122,5,False,False,False,False
39-1,train,0,Benign,5135,0.375392938080269,36459,6,False,False,False,False
39-1,train,1,Attack,473,0.034578551063674245,6639,2,False,False,False,False
39-1,train,2,C&C,1071,0.07829519701732583,8252,4,False,False,False,False
39-1,train,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
39-1,train,4,DDoS,0,0.0,10000,1,True,True,False,True
39-1,train,5,Okiru,0,0.0,10000,1,True,True,False,True
39-1,train,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
39-1,train,7,PartOfAHorizontalPortScan,7000,0.5117333138387309,40122,5,False,False,False,False
39-1,validation,0,Benign,733,0.3753200204813108,36459,6,False,False,False,False
39-1,validation,1,Attack,67,0.03430619559651818,6639,2,False,False,False,False
39-1,validation,2,C&C,153,0.07834101382488479,8252,4,False,False,False,False
39-1,validation,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
39-1,validation,4,DDoS,0,0.0,10000,1,True,True,False,True
39-1,validation,5,Okiru,0,0.0,10000,1,True,True,False,True
39-1,validation,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
39-1,validation,7,PartOfAHorizontalPortScan,1000,0.5120327700972862,40122,5,False,False,False,False
39-1,test,0,Benign,1469,0.3755112474437628,36459,6,False,False,False,False
39-1,test,1,Attack,137,0.03502044989775051,6639,2,False,False,False,False
39-1,test,2,C&C,306,0.07822085889570553,8252,4,False,False,False,False
39-1,test,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
39-1,test,4,DDoS,0,0.0,10000,1,True,True,False,True
39-1,test,5,Okiru,0,0.0,10000,1,True,True,False,True
39-1,test,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
39-1,test,7,PartOfAHorizontalPortScan,2000,0.5112474437627812,40122,5,False,False,False,False
